generation,best_distance,average_distance,worst_distance,best_fitness,average_fitness,worst_fitness
0,729.142644879478,861.5794883777615,953.1325337089962,0.001369595389357194,0.001161212872894441,0.0010480724267022982
1,729.142644879478,842.0097405603627,918.8528522110505,0.001369595389357194,0.001187734217671774,0.001087130400907384
2,742.7384767530733,826.3648180330418,892.544011071673,0.001344558646966449,0.0012102160194012185,0.0011191390548302696
3,741.3619925058964,805.1177741098005,868.3959624221576,0.0013470517215252735,0.001241765832744682,0.0011502238832740567
4,739.2074328762934,792.7928974651394,868.254856086241,0.0013509726538602918,0.0012612211091034057,0.001150410599375228
5,717.4860378739525,778.2855924482949,841.4224617886885,0.0013918154943679433,0.0012846088877538845,0.001187052868790716
6,712.7745820866459,773.1335683040544,837.2379106973402,0.0014010025365103417,0.0012932355512670325,0.0011929787322170718
7,711.0815630701996,764.1220036360719,840.564955806499,0.0014043335087744946,0.0013089221420034415,0.001188262406960218
8,700.0161577198555,754.8125030353175,809.5385789550701,0.0014265006433698013,0.0013246446999581208,0.0012337475673140441
9,695.0921747707154,745.5966931253305,812.2408585653349,0.001436591354197292,0.0013408762202638347,0.0012296480058369584
10,669.1816242444434,737.1817331589316,815.4569450204245,0.0014921328246315182,0.0013569789337209612,0.001224804328138802
11,672.97184945531,724.8886847555427,824.0741291793449,0.0014837414957437453,0.001379275507463248,0.0012120123085117747
12,657.6895224700922,722.7210972752523,818.3249406528087,0.0015181659429620044,0.0013836787472625018,0.0012205169773096811
13,642.7451697025792,715.4152981851906,787.3690761607035,0.0015534097140674722,0.001398174181680852,0.0012684414321144136
14,651.3695476356954,713.7288060467946,798.0786707868111,0.0015328735126036767,0.0014010974760731395,0.0012514412367124654
15,650.4172114806886,713.24938704005,824.00714963621,0.0015351144894175785,0.0014022551361954343,0.001212110707696235
16,649.2629132325478,707.0178016298518,786.5664630089129,0.001537839510220351,0.0014142786593396163,0.0012697341074929481
17,649.2629132325478,704.5459367751486,762.4907762383677,0.001537839510220351,0.0014192745224219172,0.0013097735180598858
18,652.3025375977531,704.8386260142503,777.3770691537796,0.0015306843957427164,0.0014187639375173443,0.001284724383115705
19,633.2942945127367,694.6217600099312,764.8515499205441,0.0015765552499068239,0.001439607249539767,0.0013057360791445135
20,634.3532926943415,690.3228454909676,771.4937289407405,0.0015739274691712103,0.0014483193879688372,0.0012945088905397598
21,646.6991132513555,689.8972111223775,750.6374853465991,0.0015439267702253678,0.0014492016305986744,0.0013304285902383842
22,642.1498164330217,690.169769589798,759.6938224527111,0.0015548476800414995,0.0014485862440041888,0.0013145893531456483
