run,generations,generation_to_acceptable,final_distance,elapsed_seconds,valid_route,route
42,101,17,582.2762518692708,0.35686830000122427,True,12 9 39 11 20 31 34 24 17 7 8 5 28 3 27 38 25 19 1 14 26 22 15 10 21 6 18 4 29 13 36 30 23 33 16 32 2 35 37 40
43,152,19,582.5585294802269,0.5366065000016533,True,19 14 3 27 5 22 10 21 11 39 33 16 9 30 23 20 31 34 1 7 29 13 8 26 36 6 17 32 35 38 37 40 18 4 25 28 24 15 2 12
44,170,16,592.1859617644612,0.6018498999983422,True,21 10 22 24 16 33 28 31 34 20 7 36 13 18 29 1 8 5 14 25 15 39 32 11 6 17 4 23 35 2 38 3 27 26 19 37 40 12 9 30
45,143,17,579.1234730925469,0.5058821999991778,True,21 11 7 36 29 13 6 17 23 18 26 22 24 15 33 19 14 20 1 8 38 32 12 10 39 16 2 35 27 3 5 28 34 31 4 25 37 40 9 30
46,237,24,558.0046164141118,0.8488657000016246,True,4 20 34 31 3 28 22 11 21 6 9 30 12 16 39 32 33 2 35 15 27 38 25 19 14 26 5 8 1 13 29 36 7 18 17 10 24 23 37 40
47,305,17,559.394133212814,1.0760843999996723,True,2 32 35 38 28 33 23 39 15 18 13 7 36 29 31 27 3 5 22 1 14 19 25 4 20 34 8 17 6 21 11 10 24 26 16 9 12 30 40 37
48,187,14,573.4522779260861,0.6644149000021571,True,18 29 13 6 10 31 27 3 38 19 37 25 4 28 5 20 26 14 34 8 1 22 24 15 23 7 36 17 30 16 32 39 9 11 21 12 40 33 35 2
49,173,17,560.8656619968219,0.611507999998139,True,25 8 20 34 31 1 10 11 21 39 37 19 14 38 27 5 26 22 24 32 35 33 2 16 30 9 12 3 28 15 23 17 6 7 29 13 36 18 4 40
50,90,22,593.1264507426483,0.31754450000153156,True,32 28 26 8 34 1 22 3 27 20 31 5 39 10 6 7 17 18 30 15 24 16 11 21 23 40 12 9 4 36 29 13 14 25 37 19 38 35 2 33
51,145,25,593.908966025062,0.5133377000020118,True,19 26 5 31 34 3 27 38 28 22 25 14 20 37 23 30 40 4 18 39 21 11 12 33 16 32 35 15 24 10 6 8 1 36 29 7 13 17 9 2
52,198,15,557.2598506219781,0.7023135999988881,True,30 21 24 22 1 5 29 13 7 28 2 32 35 38 3 27 14 37 19 34 31 20 26 8 18 4 25 36 6 17 11 10 15 39 16 23 9 12 33 40
53,208,23,557.0013061081147,0.7388636999967275,True,23 24 7 13 8 1 31 28 5 22 12 39 15 26 20 34 25 14 37 19 3 27 38 35 32 16 2 33 40 17 6 36 29 4 18 10 11 21 9 30
