generation,best_distance,average_distance,worst_distance,best_fitness,average_fitness,worst_fitness
0,779.1192038198258,864.4081997069703,936.0681571533149,0.0012818553819769283,0.0011569256971835215,0.001067158234293078
1,765.7323690506759,839.1528218225263,901.982010689361,0.00130423605467204,0.0011917520517767744,0.0011074417742127252
2,753.5605337739162,825.8050849429978,884.5867295407385,0.0013252747198405994,0.0012108522537080356,0.0011291948791041571
3,734.2819991853188,811.6654436716059,885.2633126402652,0.001360022414676253,0.0012323747288954417,0.0011283328393916047
4,699.9300772517972,799.1351851238521,871.2643703795986,0.0014266758303778239,0.0012519869671729804,0.0011464414161096736
5,699.9300772517972,783.1087654115845,854.6086391285139,0.0014266758303778239,0.0012778403618875017,0.001168758652341983
6,699.9300772517972,774.7817060858612,847.5555334582825,0.0014266758303778239,0.0012909359076704004,0.0011784732531582307
7,699.9300772517972,771.425490703122,864.2461030973164,0.0014266758303778239,0.0012966500516831624,0.001155740541818456
8,668.4136898879855,758.2963135640921,833.016807327593,0.00149384456145098,0.0013193779286053379,0.0011990166039989774
9,668.4136898879855,747.3050608842246,820.6576316174088,0.00149384456145098,0.0013378274329246126,0.0012170519222605277
10,668.4136898879855,743.8812598756533,829.9317682116975,0.00149384456145098,0.0013445068139016365,0.0012034682488457087
11,668.4136898879855,729.4677600824383,827.8997222251159,0.00149384456145098,0.0013713113953170175,0.001206418548815023
12,662.9514795304351,722.3913867981688,791.6053510001441,0.0015061341541210628,0.0013852277409125708,0.0012616619339475266
13,662.9514795304351,713.0999428776942,771.7676950960569,0.0015061341541210628,0.0014027373675530716,0.001294049953622476
14,662.9514795304351,709.9199805605064,795.7120568600013,0.0015061341541210628,0.001409026402357611,0.0012551586126877462
15,661.73019956347,691.649891733526,741.9303970198403,0.0015089096598565816,0.0014449832331720433,0.001346021113163976
16,649.0756153775299,691.971884837099,776.3544266840732,0.0015382825879713276,0.0014448675463485632,0.0012864144921199668
17,649.0756153775299,691.3014143442733,768.4929400963558,0.0015382825879713276,0.0014458528718381666,0.0012995570821933468
18,647.152218742808,690.0890928916236,755.6506196343047,0.0015428474532412392,0.0014487915568619594,0.0013216139312531166
19,641.3491271854076,686.7023786283752,756.8533380855808,0.0015567858002418675,0.001455704039575142,0.0013195165208694701
20,621.6347525520662,683.8555887503624,737.8248020797334,0.0016060780351581446,0.0014621440515304339,0.0013535008532267448
21,621.6347525520662,673.7243086316121,724.5285448997018,0.0016060780351581446,0.0014840462814410891,0.0013783055222703078
22,621.6347525520662,664.0057482485041,731.5604424482233,0.0016060780351581446,0.0015054716450877842,0.0013650750737481693
