run,solution,fitness,success,iterations,final_temperature,elapsed_seconds
77,3 6 2 7 1 4 8 5,28,True,1396,8.067364100285705e-05,0.03874340000038501
78,2 7 3 6 8 5 1 4,28,True,796,0.03354400388153121,0.022062500000174623
79,3 6 4 1 8 5 7 2,28,True,868,0.016268552406985663,0.024125200001435587
80,6 3 5 8 1 4 2 7,28,True,629,0.17969558290758378,0.017542199999297736
81,4 7 3 8 2 5 1 6,28,True,2741,1.0865967253682709e-10,0.07559000000037486
82,2 7 5 8 1 4 6 3,28,True,1254,0.0003361507041497741,0.03520500000013271
83,4 2 8 5 7 1 3 6,28,True,4493,1e-12,0.123599300000933
84,3 5 2 8 6 4 7 1,28,True,1058,0.002410104558824244,0.029223699999420205
85,4 8 1 3 6 2 7 5,28,True,754,0.05116072927664708,0.020756399997480912
86,7 4 2 8 6 1 3 5,28,True,915,0.010143855563873915,0.025362199998198776
87,6 3 1 8 4 2 7 5,28,True,730,0.06511665097883937,0.020545400002447423
88,2 4 6 8 3 1 7 5,28,True,690,0.09733841547820254,0.019390199999179458
89,7 4 2 8 6 1 3 5,28,True,668,0.12142552535847484,0.018413199999486096
90,3 5 2 8 1 7 4 6,28,True,648,0.148458852440092,0.018050099999527447
91,7 2 4 1 8 5 3 6,28,True,579,0.2970145138507073,0.015997000002244022
92,7 1 6 2 6 8 3 5,27,False,10000,1e-12,0.27841540000008536
93,5 7 2 4 8 1 3 6,28,True,623,0.1908649725880167,0.01744899999903282
94,5 1 8 6 3 7 2 4,28,True,628,0.18151068980564017,0.017586199999641394
95,8 3 1 6 2 5 7 4,28,True,1086,0.001818952394722058,0.029778399999486282
96,4 2 8 5 7 1 3 6,28,True,1326,0.00016303019062422372,0.03701509999882546
97,1 5 8 6 3 7 2 4,28,True,1779,1.7179526474378768e-06,0.04960469999787165
98,6 4 7 1 8 2 5 3,28,True,764,0.04626884650217779,0.02142919999823789
99,6 8 2 4 1 7 5 3,28,True,1095,0.0016616443849302716,0.030760699999518692
100,8 2 5 3 1 7 4 6,28,True,1140,0.001057114040692167,0.031403799999679904
